Reference, Value, Footprint, Datasheet, Arrow Part Number, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"C1","10uF","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"J1","Conn_01x08_Male","Connector_PinHeader_1.00mm:PinHeader_1x08_P1.00mm_Vertical","~"
"10K1","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"FRAM1","MB85RS64VPNF-G-JNERE1","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","http://www.fujitsu.com/downloads/MICRO/fsa/pdf/products/memory/fram/MB85RS64V-DS501-00015-4v0-E.pdf","MB85RS64VPNF-G-JNERE1","64Kbit 8K x 8 FRAM SPI interface","1.75","FUJITSU","MB85RS64VPNF-G-JNERE1","N/A","https://www.mouser.co.uk/ProductDetail/Fujitsu/MB85RS64VPNF-G-JNERE1?qs=2kOmHSv6VfSTetts%252BXdrBQ%3D%3D"
